time,seen_url_count,unsearched_count,unextracted_count
0,0,74,264
15,424,210,559
30,921,364,873
45,1436,332,1179
60,1776,210,1403
75,1995,1,1593
90,2145,0,1646
105,2294,44,1779
120,2553,10,1855
135,2596,0,1865
150,2712,5,1922
165,2879,0,2078
180,3086,19,2309
195,3411,0,2372
210,3508,0,2502
225,3724,0,2595
240,3917,0,2519
255,3959,0,2464
270,4029,0,2505
285,4326,0,2498
300,4386,0,2541
315,4562,0,2607
330,4713,111,2762
345,5151,0,2825
360,5237,0,2855
375,5356,10,2838
390,5531,0,2843
405,5637,0,2848
420,5811,0,2745
435,5887,0,2687
450,5941,0,2624
465,5986,0,2616
480,6067,0,2503
495,6082,0,2435
510,6122,0,2352
525,6131,0,2416
540,6265,0,2308
555,6270,0,2221
570,6298,0,2108
585,6314,0,2014
600,6314,0,1963
615,6365,0,1859
630,6372,0,1778
645,6419,0,1748
660,6570,0,1649
675,6591,0,1614
690,6671,0,1402
705,6734,0,1259
720,6892,0,1315
735,7039,0,1264
750,7119,0,1225
765,7190,0,1184
780,7257,0,1122
795,7323,0,1090
810,7404,0,1021
825,7432,0,956
840,7473,0,955
855,7556,0,850
870,7590,0,837
885,7690,0,827
900,7768,0,959
915,8031,0,1033
930,8203,0,1052
945,8292,0,1050
960,8390,0,1048
975,8481,0,1023
990,8569,0,994
1005,8636,0,961
1020,8721,0,911
1035,8792,0,689
1050,8863,0,535
1065,8935,0,550
1080,9052,0,542
1095,9142,0,511
1110,9218,0,510
1125,9302,0,475
1140,9401,0,452
1155,9471,0,441
1170,9599,0,399
1185,9676,0,376
